Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
Carpe Diem Bar Tabaccheria;Foligno;Via Franco Santocchia, 155;0742 679297;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;
Reve Foligno;Foligno;Via Umberto I, 75;0742 774267;;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 00:00;
Bar Strauss;Foligno;Via Oslavia, 15/C;0742 340521;05:30 - 13:30, 16:30 - 20:30;05:30 - 13:30, 16:30 - 20:30;05:30 - 13:30, 16:30 - 20:30;05:30 - 13:30, 16:30 - 20:30;05:30 - 13:30, 16:30 - 20:30;05:30 - 13:30;
Silvy'S Bar S.A.S di Morosi Andrea;Foligno;Via Umberto Nobile, 8;0742 262289;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00
Bar dello Sport;Foligno;Via Nazario Sauro, 16;N/A;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;;;
Bar New York;Foligno;Viale IV Novembre, 27;0742 350876;06:00 - 21:00;06:30 - 23:00;06:30 - 23:00;06:30 - 23:00;06:30 - 23:00;06:30 - 23:00;
BAR DUE MARI CAFFÈ;Foligno;Viale Firenze, 81;N/A;07:00 - 20:00;07:00 - 20:00;05:30 - 20:00;06:00 - 20:00;06:00 - 20:00;07:00 - 20:00;
Bar Posta Foligno;Foligno;Via Giuseppe Piermarini, 22;0742 668980;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;
Caffé Tabacchi Umberto I;Foligno;Via Umberto I, 82/84;347 642 4103;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:30 - 20:00;
Bar Petrarca;Foligno;Via Col di Lana;N/A;06:00 - 18:00;06:00 - 18:00;06:00 - 18:00;06:00 - 18:00;06:00 - 18:00;06:00 - 14:00;06:00 - 12:30
Scolastra service s.n.c.;Foligno;Via A. Vici;335 844 8937;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;
Bar 50 50;Foligno;Viale Firenze, 13;0742 321370;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;
Ploom reseller-Bar Barchetta;Foligno;Via del Lago, 149, Colfiorito PG;0742 681104;06:00 - 00:00;06:00 - 00:00;;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Il Bar di Silvia;Foligno;Via Giuseppe Mazzini, 101;N/A;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;
Bar Ever Green S.R.L.;Fossato di Vico;Piazzale Osteria, 6;075 621 8527;ND;ND;ND;ND;ND;ND;ND
Buffet della Stazione;Fossato di Vico;Via Stazione, 10;075 914 9456;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00
La Dolce Vita;Fossato di Vico;Via del Gemellaggio, 1;333 270 1078;02:30 - 23:00;02:30 - 23:00;02:30 - 23:00;02:30 - 23:00;02:30 - 23:00;02:30 - 23:30;02:30 - 23:00
Texas Pub;Fossato di Vico;SS219, 27, Osteria del Gatto PG;366 539 3558;19:00 - 01:30;19:00 - 01:30;19:00 - 01:30;19:00 - 01:30;19:00 - 02:00;19:00 - 02:00;19:00 - 01:30
Bubbleit - BUBBLE TEA Tutto Italiano;Fossato di Vico;Via Flaminia, 19;075 947 8244;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;11:00 - 17:00;;
Bar 2000;Fratta Todina;Via Circonvallazione, 19;075 874 5339;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00
App Bar;Fratta Todina;Via Tuderte, 22 H;N/A;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00
BAR & BOCCE;Giano dell'Umbria;SP452, 18;N/A;24H;24H;24H;24H;24H;24H;24H
Sweetie bar;Giano dell'Umbria;Via Roma, 130a, Bastardo PG;N/A;05:30 - 22:00;05:30 - 22:00;05:30 - 22:00;05:30 - 22:00;05:30 - 22:00;05:30 - 22:00;06:00 - 22:00
Bar Pasticceria Del Fornaio;Gualdo Cattaneo;P.zza Umberto I, 4/5;N/A;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;07:00 - 21:00;07:00 - 21:00;07:00 - 13:30, 16:00 - 21:00
BAR DELLO SPORT DI BONCIARELLI GRAZIANO;Gualdo Cattaneo;Via Roma, 88, San Terenziano PG;0742 98944;;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00
Bar Tabacchi 2000 Di Gili Erminio;Gualdo Cattaneo;Via Matteotti, 36;0742 97151;;06:00 - 23:00;06:00 - 22:00;06:00 - 22:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00
Caffè Del Corso;Gualdo Tadino;Piazza Giuseppe Garibaldi, 20;333 591 8120;06:30 - 21:30;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 02:00;06:30 - 02:00;
Bar Sorriso;Gualdo Tadino;Via Flaminia Nord, 283;075 914 1456;05:30 - 00:30;05:30 - 00:30;05:30 - 00:30;05:30 - 00:30;05:30 - 00:30;05:30 - 00:30;05:30 - 00:30
Bar Bellagio;Gualdo Tadino;Province of Perugia;075 465 4182;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;07:00 - 21:30;07:00 - 21:30
Bar Giardino;Gualdo Tadino;piazzale ospedale;075 545 4208;06:30 - 21:00;;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;07:30 - 21:00
Margarita Café Wine Bar Gelateria Artigianale Happy Hour;Gualdo Tadino;Via Flaminia Sud, km 189/km 189;075 808 5031;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
Bar Appennino;Gualdo Tadino;Piazza Martiri della Libertà, 5;075 916895;;07:00 - 23:00;;;;;
JOHNNY BAR;Gualdo Tadino;Via C.B. Cavour;075 916621;06:00 - 13:00, 15:00 - 20:00;06:00 - 13:00;06:00 - 13:00, 15:00 - 20:00;06:00 - 13:00, 15:00 - 20:00;06:00 - 13:00, 15:00 - 20:00;06:00 - 13:00, 15:00 - 20:00;06:00 - 13:00
Caffè Nuvolari;Gualdo Tadino;Palazzo Mancinelli-Vaccara, Province of Perugia;N/A;06:00 - 00:30;06:00 - 00:30;06:00 - 00:30;06:00 - 00:30;06:00 - 01:00;06:00 - 01:00;07:00 - 00:30
Bar Chiaretta;Gualdo Tadino;Via della Stazione;075 916040;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
Bar Jolly;Gualdo Tadino;Via Tagina, 7;075 914 0448;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;
Bar Fortuna Cafe' fi Alberto Morini;Gualdo Tadino;Viale Roma, 61;075 916625;ND;ND;ND;ND;ND;ND;ND
