Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
Bar Modugno Perugia;Perugia;Via Annibale Vecchi, 169;075 509 4690;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;07:30 - 21:00
Bar Filosofi;Perugia;Via dei Filosofi, 76;075 33729;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;
Eni Cafè;Perugia;Via M. Angeloni, 13;388 628 6533;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 19:00
Bar Due Piu Due di Carrozzo Maximiliano;Perugia;Via XX Settembre, 110;075 500 8812;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30
Caffè Vulcano;Perugia;Via Campo di Marte, 8;N/A;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;06:30 - 18:00;06:30 - 13:00;
Bar Residence;Perugia;Str. Santa Lucia, 6/e/7;075 40792;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;
Perugia time CAFE/Tabacheria 71;Perugia;Via del circo, 18/A;N/A;07:30 - 19:00;07:30 - 19:00;07:30 - 19:00;07:30 - 19:00;07:30 - 19:30;07:30 - 19:30;
IQOS PREMIUM PARTNER PERUGIA STAZIONE - Tabaccheria 18 caffè;Perugia;Via M. Angeloni, 42 cd;075 505 2036;06:00 - 19:45;06:00 - 19:45;06:00 - 19:45;06:00 - 19:45;06:00 - 19:45;06:00 - 19:45;07:00 - 13:00
Dempsey's Perugia;Perugia;P.za Ignazio Danti, 19;N/A;18:00 - 01:30;18:00 - 01:30;18:00 - 01:30;18:00 - 01:30;18:00 - 01:30;18:00 - 01:30;18:00 - 01:30
Bar Pasticceria Panetteria Da Mary;Perugia;Via Umbria, 32;075 607229;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 13:00;
BAR LORIS;Perugia;Via M. Alinda Brunamonti Brunacci, 52;075 572 4294;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;;06:00 - 20:00
Echoes café;Piegaro;Piazza G. Matteotti, 3;351 906 3111;06:00 - 13:00;06:00 - 22:00;06:00 - 13:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
Bar ASIA;Pietralunga;Via G. Marconi, 12;N/A;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Bar Boschetto;Pietralunga;Via Bruno Buozzi, 81;075 946 0058;;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00
Bar il Castoro;Preci;Via Roma, 23;N/A;ND;ND;ND;ND;ND;ND;ND
Caffè Belloni;San Giustino;Piazza del Municipio, 1;333 835 5813;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
Bar Moraldi Di Pernici Arianna;San Giustino;Piazza del Municipio, 10/B;075 374 0794;04:30 - 00:00;04:30 - 00:00;04:30 - 00:00;04:30 - 00:00;04:30 - 00:00;04:30 - 00:00;04:30 - 00:00
Bar Marisa;San Giustino;P.za del Popolo, 12, Valdarno AR;N/A;;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00
SEVEN 5.0;San Giustino;Via Setteponti Levante, n° 69, Valdarno AR;348 172 9580;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 23:00;06:30 - 21:30;
Bar Landi Stefanella;San Giustino;Via G. Boccaccio, 31;075 858 2136;05:00 - 04:00;06:30 - 00:30;06:30 - 00:30;;06:30 - 00:30;06:30 - 00:30;12:00 - 12:30
CVA LAMA;San Giustino;Via del Fiume, Selci Lama PG;N/A;02:00 - 23:00;02:00 - 23:00;02:00 - 23:00;02:00 - 23:00;02:00 - 23:00;02:00 - 23:00;02:00 - 23:00
Aquila Energie;San Giustino;V.le Toscana, 42;075 856851;07:30 - 12:30, 15:00 - 19:00;07:30 - 12:30, 15:00 - 19:00;07:30 - 12:30, 15:00 - 19:00;07:30 - 12:30, 15:00 - 19:00;07:30 - 12:30, 15:00 - 19:00;07:30 - 12:30;
Bar Alberto;Sant'Anatolia di Narco;Via della Stazione, 10;0743 613263;;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
Hakuna Matata Cafe;Sant'Anatolia di Narco;Via Della Stazione, 2-a;0743 618086;07:30 - 21:30;07:30 - 21:30;07:30 - 23:00;07:30 - 23:00;07:30 - 23:00;07:30 - 23:00;08:00 - 23:30
Bar Centrale;Scheggia e Pascelupo;Via Roma, 15;075 925 9141;06:30 - 00:00;06:30 - 00:00;;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00
Bar Ro.Sa. dei venti;Scheggia e Pascelupo;Via Flaminia, Km 212;339 466 9415;06:30 - 19:30;06:30 - 19:30;06:30 - 19:30;06:30 - 19:30;06:30 - 19:30;06:30 - 19:30;
Happy Bar & Tabaccheria;Scheggino;Piazza del Mercato;393 287 2565;07:00 - 22:30;07:00 - 22:30;07:00 - 14:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;08:00 - 22:30
Ghita Elena Florentina;Sellano;Via Umberto I, 1;0743 96294;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00
Gardenbar;Sigillo;Via Giacomo Matteotti, 28;N/A;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:00 - 00:00;06:00 - 01:00;06:00 - 23:30
Bar Numer Uan;Sigillo;Piazza Martiri;N/A;ND;ND;ND;ND;ND;ND;ND
Caffè Porta Consolare;Spello;Via Centrale Umbra, 54;0742 651296;;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Bar Dell' Angolo di Spello;Spello;Via Centrale Umbra;N/A;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:30 - 20:00
TulliAmo Urban Lounge;Spello;Largo Mazzini, 8;0742 302083;ND;ND;ND;ND;ND;ND;ND
Largo Mazzini;Spello;Largo Mazzini, 2;0742 668631;11:00 - 23:00;;11:00 - 23:00;11:00 - 23:00;11:00 - 23:00;11:00 - 23:00;11:00 - 23:00
Caffè degli Artisti;Spoleto;Piazza del Mercato, 32;0743 225071;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00
Bar Antico Caffè;Spoleto;Piazza del Mercato, 2;N/A;06:30 - 01:00;06:30 - 02:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00
Caffé dei Tigli;Spoleto;Largo dei Tigli, 7;0743 671048;04:00 - 16:00;04:00 - 16:00;04:00 - 16:00;04:00 - 16:00;04:00 - 16:00;04:00 - 16:00;
Laltrocaffé;Spoleto;P.za Giuseppe Garibaldi, 11;347 769 9081;;07:00 - 04:00;07:00 - 04:00;07:00 - 04:00;07:00 - 04:00;07:00 - 04:00;12:00 - 04:00
The Snail S.N.C. Of Catozzi Daniele & C.;Spoleto;Via Sandro Pertini, 91;0743 277306;05:30 - 20:30;05:30 - 20:30;05:30 - 20:30;05:30 - 20:30;05:30 - 20:30;05:30 - 20:30;
Ploom store-Bar Api;Spoleto;Via S. Carlo, 23;0743 223241;04:00 - 00:00;04:00 - 00:00;04:00 - 00:00;04:00 - 00:00;04:00 - 00:00;04:00 - 00:00;04:00 - 00:00
5.6 caffè del corso;Spoleto;Corso G. Mazzini, 11;0743 44715;06:30 - 20:30;06:30 - 20:30;;06:30 - 20:30;06:30 - 20:30;06:30 - 20:30;
Bar La Portella 1980;Spoleto;Via del Ponte;334 251 7055;07:30 - 23:00;;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30
Art Cafè Spoleto;Spoleto;Corso G. Mazzini, 43;0743 420324;;07:45 - 21:30;07:45 - 21:30;07:45 - 21:30;07:45 - 21:30;07:45 - 21:30;07:45 - 21:30
Caffe' dello Sport;Spoleto;Viale Trento e Trieste, 78;0743 47796;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;
Il Piccolo Bar;Spoleto;P.za della Vittoria;N/A;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Bar Primavera;Spoleto;Piazza del Mercato, 8;0743 221649;07:00 - 02:00;07:00 - 02:00;07:00 - 02:00;07:00 - 02:00;07:00 - 02:00;07:00 - 02:00;07:00 - 02:00
Pasticceria bar Vincenzo Spoleto;Spoleto;Via Cerquiglia;0743 220498;;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00
Caffé Cantina Casbah;Spoleto;Via Ponzianina, 5;N/A;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 00:00;12:00 - 14:30, 16:00 - 22:30
CaffèZero;Spoleto;Via Loreto, 3;0744 220712;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 14:00;05:00 - 14:00
Caffè Carlini;Spoleto;Via Gioviano Pontano, 38;347 712 8442;ND;ND;ND;ND;ND;ND;ND
Spoleto Railway Station BAR;Spoleto;Piazzale Giovanni Polvani, 2;0743 670604;05:00 - 20:30;05:00 - 19:00;05:00 - 19:00;05:00 - 19:00;05:00 - 19:00;05:00 - 19:00;05:00 - 19:00
Bar Commercio;Spoleto;Viale Trento e Trieste, 7/9;0743 40694;05:30 - 19:30;05:30 - 19:30;05:30 - 19:30;05:30 - 19:30;05:30 - 19:30;05:30 - 16:00;
The Gemel's Cafè;Spoleto;Località Pontebari, 87;0743 261921;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
Bar LEONI;Spoleto;Via Guglielmo Marconi, 156;N/A;24H;24H;24H;24H;24H;24H;
Bar Gelateria Corrado;Spoleto;Via Guglielmo Marconi, 392;0743 45955;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
Bar Rotini di Mosca Federico;Spoleto;Via Flaminia, 26;0743 222022;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;
Bar Marconi S. A. S. di Nannucci e Sebastiani;Spoleto;Via Guglielmo Marconi, 118;0743 49640;;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00
CaffèZero;Spoleto;Via Guglielmo Marconi, 565;0743 670374;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00
Bar Zengoni;Spoleto;SS418, 3;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Gelateria Catarinelli;Spoleto;P.za Giuseppe Garibaldi, 16;0743 420489;06:00 - 00:00;;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:30 - 00:00
Caffe' Mundial;Spoleto;Via Primo Maggio, 14;0743 44117;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;07:00 - 14:00, 15:30 - 19:30
Caffè Tropicana Snc;Spoleto;Via Martiri del Lavoro, 4, Madonna di Baiano PG;0743 53116;05:15 - 14:00;05:15 - 00:30;05:15 - 00:30;05:15 - 00:30;05:15 - 00:30;05:15 - 00:30;05:15 - 00:00
Bar Le Miniere;Spoleto;Frazione Morgnano;N/A;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;
Bar Rosati;Spoleto;Corso Giuseppe Garibaldi, 62;0743 49652;03:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;03:30 - 21:00
The Lab Caffè;Spoleto;Viale Cerquestrette, 36, San Martino In Trignano PG;0743 522753;24H;24H;24H;24H;24H;24H;24H
Macbar;Spoleto;Viale Cerquestrette, San Martino In Trignano PG;0743 248108;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 02:00;05:00 - 02:00;05:00 - 00:00
Rendez Vous;Spoleto;Via Flaminia, 113;0743 49859;06:45 - 20:00;06:45 - 13:00;06:45 - 20:00;06:45 - 20:00;06:00 - 20:00;06:00 - 20:00;06:45 - 20:00
Bar Valnerina 3;Spoleto;Province of Perugia;0743 520656;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;
Pastry Zampolini Srl;Spoleto;Viale Trento e Trieste, 24;0743 40346;06:00 - 13:30, 15:30 - 20:00;06:00 - 13:30, 15:30 - 20:00;;06:00 - 13:30, 15:30 - 20:00;06:00 - 13:30, 15:30 - 20:00;06:00 - 13:30, 15:30 - 20:00;06:00 - 13:30, 15:30 - 20:00
Garibaldi Caffè;Todi;Corso Camillo Benso Conte di Cavour, 6;N/A;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 01:00;08:00 - 01:00;08:00 - 00:00
Bar Marcucci;Todi;Viale Tiberina, 44;075 894 2364;06:15 - 01:00;06:15 - 01:00;06:15 - 01:00;06:15 - 01:00;06:15 - 01:00;06:15 - 01:00;06:15 - 01:00
Factory;Todi;Circonvallazione Orvietana, 11;328 465 8927;07:00 - 21:00;;07:00 - 21:00;07:00 - 21:00;07:00 - 01:00;07:30 - 01:00;08:00 - 13:00, 16:00 - 21:00
Bar Mokambo S.R.L.;Todi;Via S. Raffaele, 2;075 894 4273;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00
Un Bacio a Todi;Todi;Piazza del Popolo, 14;345 797 9562;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00
Bar Pianegiani;Todi;Corso Camillo Benso Conte di Cavour, 40;075 894 2376;07:00 - 20:00;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30;07:00 - 23:30
Bar biganti;Todi;Via Giuseppe Mazzini, 9;N/A;07:00 - 22:00;07:00 - 15:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 23:30;07:00 - 22:00
Bar Matteotti;Todi;Via Giacomo Matteotti, 146;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Mario di Orlandi Sara;Todi;Via Tiberina, 79;075 545 1313;04:30 - 23:30;04:30 - 23:30;04:30 - 23:30;04:30 - 23:30;04:30 - 23:30;04:30 - 23:30;04:30 - 01:00
Bar Mariani;Todi;Viale Tiberina;335 822 6773;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 12:30
Bar Cleri;Todi;Località Pontenaia, 32;075 894 2120;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00
Bar Tris;Todi;Via Angelo Cortesi, 21/23;075 509 4470;05:30 - 23:30;05:30 - 23:30;05:30 - 23:30;;05:30 - 23:30;05:30 - 23:30;05:30 - 23:30
LUNA GI caffè;Todi;Vocabolo S. Benigno, 147;347 938 7894;ND;ND;ND;ND;ND;ND;ND
Pasticceria Bartolini;Todi;Via Angelo Cortesi, 36;075 894 3323;;07:00 - 13:00, 15:00 - 19:30;07:00 - 13:00, 15:00 - 19:30;07:00 - 13:00, 15:00 - 19:30;07:00 - 13:00, 15:00 - 19:30;07:00 - 13:00, 15:00 - 19:30;07:00 - 13:00
Bar Sport Torgiano;Torgiano;Via Assisi, 51B;075 376 5065;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00
Bar Dante;Torgiano;Via Tiberina, 196;075 982158;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:30 - 19:30
Bar La Vecchia Torre;Torgiano;Via dell'Unità d'Italia, 2;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Gialletti;Torgiano;Strada S. Rocco, 37/39;375 932 0667;05:20 - 19:30;05:20 - 19:30;05:20 - 19:30;05:20 - 19:30;05:20 - 19:30;05:20 - 19:30;
Contesto Jazz Club Cafè;Torgiano;Via dei Mastri, 5, Ferriera PG;075 997 9222;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;04:30 - 21:00;04:30 - 00:00;04:30 - 13:30;
Bar Paola;Torgiano;Località Signoria, 70, Signoria PG;075 982106;14:00 - 00:00;24H;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Bar Caffè Roma Trevi;Trevi;Piazza Mazzini, 4;0742 620672;07:30 - 02:00;07:30 - 02:00;;07:30 - 02:00;07:30 - 02:00;07:30 - 02:00;07:30 - 02:00
Caffè del Borgo;Trevi;Via Sant' Egidio, 18;0742 78375;05:30 - 19:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00
Bar Chalet;Trevi;Piazza Giuseppe Garibaldi, 1;0742 78291;06:00 - 00:00;;06:00 - 00:00;06:00 - 00:00;06:00 - 02:00;06:00 - 02:00;06:00 - 00:00
Caffetteria Mattioli;Trevi;Via Sant' Egidio, 67/69;0742 781373;07:00 - 13:00, 15:30 - 19:30;07:00 - 13:00, 15:30 - 19:30;07:00 - 13:00, 15:30 - 19:30;07:00 - 13:00, 15:30 - 19:30;07:00 - 13:00, 15:30 - 19:30;07:00 - 13:00, 15:30 - 19:30;
Bar Collando di Giovanni de Santis;Trevi;Piazza 4 Novembre, 4, nel Lazio FR;N/A;07:00 - 01:00;07:00 - 00:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00
Bar Paradiso;Trevi;Strada Statale Flaminia, km 145, 2;0742 264941;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;06:30 - 21:00
Break Bar Trevi;Trevi;Via Nuova, Cannaiola PG;0742 78923;ND;ND;ND;ND;ND;ND;ND
Bar Tabaccheria Di Giacomo;Trevi;Via Madonna, 3/5;0742 780301;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;06:30 - 13:00
BAR Pasticceria Gelateria "GEMMA";Trevi;Viale Cesare Battisti, 41, nel Lazio FR;347 214 0912;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00
Ploom reseller-Whisky Bar tabacchi;Trevi;Via Popoli, 14/A, Matigge PG;0742 262374;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;
ROXY BAR;Trevi;Str. S. Clemente, 60;0742 78790;07:00 - 13:00, 15:00 - 23:30;07:00 - 13:00, 15:00 - 23:30;07:00 - 13:00, 15:00 - 23:30;07:00 - 13:00, 15:00 - 23:30;07:00 - 13:00, 15:00 - 23:30;07:00 - 13:00, 14:00 - 23:30;
Bar Hannibal;Tuoro sul Trasimeno;Via Sette Martiri, 12;075 374 1814;;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00
BERNASCONI by Ciao Ciao;Tuoro sul Trasimeno;Via Navaccia;335 812 0855;08:30 - 00:00;08:30 - 00:00;;08:30 - 00:00;08:30 - 00:00;08:30 - 16:00;08:30 - 00:00
Joker Bar;Tuoro sul Trasimeno;Viale Console Flaminio, 66;N/A;ND;ND;ND;ND;ND;ND;ND
Zucchini Bar & Sala Giochi;Tuoro sul Trasimeno;Via Sant'Antonio, 2;075 825 4170;;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00
Wine bar 100% Bombo 2;Tuoro sul Trasimeno;Piazza Risorgimento, 7;346 352 4916;24H;06:00 - 01:00;12:00 - 00:00;06:00 - 01:00;12:00 - 00:00;12:00 - 02:00;12:00 - 00:00
Old Coffee Garden;Umbertide;Via Giuseppe Garibaldi, 14/16;075 942 0330;24H;24H;24H;24H;24H;24H;24H
Bar Italia;Umbertide;Viale Unità D'Italia, 48;075 545 4605;;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 23:00
The River - Lounge Bar;Umbertide;Via Dei Pescatori, Edificio P;333 355 5568;06:00 - 18:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 23:00;06:00 - 22:30;05:30 - 21:00
Euro Bar;Umbertide;Via Martiri della Libertà, 1;075 372 1368;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Bar Old Cafè;Umbertide;Via Madonna del Moro, 30;075 942 0402;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30;06:00 - 23:30
Bar L'Angolo;Umbertide;Via Roma, 82;075 941 2045;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00
Lo Sforno;Umbertide;Via Ruggero Grieco, 8;329 678 3928;06:00 - 20:00;06:00 - 20:00;06:00 - 22:00;06:00 - 20:00;06:00 - 22:00;06:00 - 22:00;
Il Gatto e la Volpe;Umbertide;Via Rodolfo Morandi, 40;075 941 3565;;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00
Bar Happy Days;Umbertide;Viale Europa, 14;334 570 4149;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00
Barajà;Umbertide;Via Rodolfo Morandi, 14;075 930 2566;06:00 - 19:45;06:00 - 19:45;06:00 - 19:45;06:00 - 19:45;06:00 - 19:45;06:00 - 19:45;
Bar Pina;Umbertide;Via Gabriotti, 18;N/A;07:00 - 20:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00
Bar Coletti;Umbertide;Via Bremizia, 3;348 381 5253;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Pasticceria Cecchetti;Umbertide;Via del Commercio, 6;075 941 4422;05:00 - 19:00;05:00 - 19:00;05:00 - 19:00;05:00 - 19:00;05:00 - 19:00;05:00 - 13:00;06:00 - 13:00
Pasticceria da Giusy;Umbertide;Via Pomarancio, 8;377 353 9167;;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00
The cat and the Fox;Umbertide;Via Cristoforo Colombo, 5;075 942 0482;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00
Bar Mary;Umbertide;Via Leopoldo Grilli, 1;N/A;ND;ND;ND;ND;ND;ND;ND
BAR FANTASIA SNC DI GRAGNOLA NATASCIA E GRAGNOLA N;Umbertide;Via Cavour, 45 47;353 441 6034;04:30 - 19:30;04:30 - 19:30;04:30 - 19:30;04:30 - 19:30;04:30 - 19:30;04:30 - 19:30;
Bar Pazzi;Umbertide;Piazza Giacomo Matteotti, 25;075 941 3324;07:30 - 22:30;07:30 - 22:30;07:30 - 22:30;07:30 - 22:30;07:30 - 22:30;07:30 - 22:30;08:30 - 15:00, 16:00 - 23:30
Bar Duezerodieci;Umbertide;Via Ruggero Cane Ranieri, 17/C;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Pink Panter CV1048;Umbertide;Frazione Niccone, 10, Niccone PG;075 941 0691;ND;ND;ND;ND;ND;ND;ND
Bar Ikram;Umbertide;Via Roma, 33;N/A;;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00
Bar della Stazione;Umbertide;P.za Antonio Gramsci, 24;075 941 3265;;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00
Bar della Fontana;Valfabbrica;P.za Giuseppe Mazzini, 10;338 765 1496;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30;06:00 - 23:30;06:00 - 23:30;06:00 - 22:30
Il Castaldo (S.N.C.);Valfabbrica;Via S. Lucia, 13;075 909224;07:20 - 01:30;;07:20 - 01:30;07:20 - 01:30;07:20 - 01:30;07:20 - 01:30;07:20 - 01:30
Bar Pinky;Valfabbrica;Via Italia, 12;N/A;06:00 - 00:00;06:00 - 00:00;;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Caffè Belvedere;Valfabbrica;Viale Roma in Casacastalda, Casacastalda PG;075 909013;;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30;06:30 - 23:30
Bar Aquarium;Valfabbrica;Via Ungheria, 4;N/A;ND;ND;ND;ND;ND;ND;ND
CI Vediamo DA Mario;Valfabbrica;Via Roma, 5;N/A;07:30 - 22:00;07:30 - 22:00;07:30 - 20:30;07:30 - 22:00;07:30 - 22:00;07:30 - 22:00;07:30 - 22:00
Bar Valnerina Srl;Vallo di Nera;Piedipaterno Province of Perugia;0743 951707;05:00 - 21:00;;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00
Bar L'incontro;Valtopina;Via Val di Fiemme;0742 750035;ND;ND;ND;ND;ND;ND;ND
Happy bar;Valtopina;Via Nazario Sauro, 26;0742 951617;ND;ND;ND;ND;ND;ND;ND
Brother’s Bar;Valtopina;Province of Perugia;N/A;08:30 - 03:00;08:30 - 03:00;08:30 - 03:00;08:30 - 03:00;08:30 - 03:00;08:30 - 03:00;08:30 - 03:00
Cottoni Achille;Valtopina;Via Flaminia Nord, 33;0742 74667;ND;ND;ND;ND;ND;ND;ND
